file,emotion,dominant_emotion,region,age,gender,dominant_gender,race,dominant_race
1 (37).jpg,"{'angry': 0.11116964742541313, 'disgust': 9.087115147811062e-13, 'fear': 0.00022124668248579837, 'happy': 0.027746186242438853, 'sad': 0.2991685410961509, 'surprise': 8.210990998236412e-07, 'neutral': 99.56169128417969}",neutral,"{'x': 1351, 'y': 435, 'w': 57, 'h': 57}",22,"{'Woman': 4.279271140694618, 'Man': 95.72073221206665}",Man,"{'asian': 1.3893039793851363, 'indian': 0.5500229869051568, 'black': 0.41704366606734194, 'white': 84.8333230515315, 'middle eastern': 6.744323327799042, 'latino hispanic': 6.065984059332851}",white
0 (20).jpeg,"{'angry': 1.617183425863671e-05, 'disgust': 2.281152659787068e-09, 'fear': 1.161164673338215, 'happy': 98.29489578574275, 'sad': 0.002468802051039721, 'surprise': 0.013455114896527821, 'neutral': 0.5279997212737633}",happy,"{'x': 1647, 'y': 870, 'w': 2178, 'h': 2178}",30,"{'Woman': 99.99973773956299, 'Man': 0.0002580444970590179}",Woman,"{'asian': 68.16678643226624, 'indian': 2.6078209280967712, 'black': 0.28040925972163677, 'white': 6.634730845689774, 'middle eastern': 2.0558318123221397, 'latino hispanic': 20.25441825389862}",asian
1 (20).jpeg,"{'angry': 12.777335941791534, 'disgust': 8.814981633520347e-07, 'fear': 0.07865479565225542, 'happy': 0.05380239454098046, 'sad': 13.987098634243011, 'surprise': 7.114102800187538e-05, 'neutral': 73.10304045677185}",neutral,"{'x': 160, 'y': 357, 'w': 1795, 'h': 1795}",52,"{'Woman': 0.00027842356757901143, 'Man': 99.99972581863403}",Man,"{'asian': 3.1487473961533397e-05, 'indian': 0.051099155098199844, 'black': 2.8052195233385646e-06, 'white': 41.354623436927795, 'middle eastern': 57.78419375419617, 'latino hispanic': 0.8100550621747971}",middle eastern
1 (8).png,"{'angry': 33.075714111328125, 'disgust': 0.00015121272554097231, 'fear': 2.151757664978504, 'happy': 0.0006045584996172693, 'sad': 41.045695543289185, 'surprise': 0.15561117324978113, 'neutral': 23.57046604156494}",sad,"{'x': 106, 'y': 110, 'w': 165, 'h': 165}",47,"{'Woman': 0.09873929666355252, 'Man': 99.90125894546509}",Man,"{'asian': 0.6965102111703283, 'indian': 7.6279026346148635, 'black': 0.17647724486379296, 'white': 36.471857814303505, 'middle eastern': 35.2962932167228, 'latino hispanic': 19.73095802849281}",white
0 (32).jpeg,"{'angry': 0.5418900866061449, 'disgust': 2.5599581048724174e-10, 'fear': 0.3822802100330591, 'happy': 2.4551871646849577e-06, 'sad': 28.74380052089691, 'surprise': 0.00031770393889019033, 'neutral': 70.33171057701111}",neutral,"{'x': 506, 'y': 840, 'w': 2122, 'h': 2122}",33,"{'Woman': 99.128657579422, 'Man': 0.8713381364941597}",Woman,"{'asian': 79.3190767004307, 'indian': 5.852253829895537, 'black': 0.8206337596455193, 'white': 0.29331648248339115, 'middle eastern': 0.04246658506202905, 'latino hispanic': 13.672242779197031}",asian
0 (2).jpeg,"{'angry': 0.16437151750528917, 'disgust': 0.00024754103035124804, 'fear': 81.60532007249117, 'happy': 0.007926614234273611, 'sad': 17.121167011330545, 'surprise': 0.020769958574583147, 'neutral': 1.0801951113459534}",fear,"{'x': 186, 'y': 858, 'w': 2816, 'h': 2816}",27,"{'Woman': 11.433954536914825, 'Man': 88.56604099273682}",Man,"{'asian': 47.77515802087284, 'indian': 15.359621090843808, 'black': 14.382119701161349, 'white': 2.010407724727121, 'middle eastern': 1.2561196096086036, 'latino hispanic': 19.216578509399714}",asian
0 (15).jpeg,"{'angry': 0.16437151750528917, 'disgust': 0.00024754103035124804, 'fear': 81.60532007249117, 'happy': 0.007926614234273611, 'sad': 17.121167011330545, 'surprise': 0.020769958574583147, 'neutral': 1.0801951113459534}",fear,"{'x': 186, 'y': 858, 'w': 2816, 'h': 2816}",27,"{'Woman': 11.433954536914825, 'Man': 88.56604099273682}",Man,"{'asian': 47.77515802087284, 'indian': 15.359621090843808, 'black': 14.382119701161349, 'white': 2.010407724727121, 'middle eastern': 1.2561196096086036, 'latino hispanic': 19.216578509399714}",asian
0 (4).png,"{'angry': 8.14202678611764e-06, 'disgust': 1.4752545159871927e-11, 'fear': 41.611164808273315, 'happy': 0.0019983301172032952, 'sad': 0.024776053032837808, 'surprise': 0.009908648644341156, 'neutral': 58.352142572402954}",neutral,"{'x': 360, 'y': 519, 'w': 957, 'h': 957}",34,"{'Woman': 43.940162658691406, 'Man': 56.059831380844116}",Man,"{'asian': 52.243125438690186, 'indian': 2.146753668785095, 'black': 0.8455382660031319, 'white': 27.214401960372925, 'middle eastern': 4.569513723254204, 'latino hispanic': 12.980665266513824}",asian
1 (9).png,"{'angry': 6.918846815824509, 'disgust': 2.444203914819809e-05, 'fear': 0.48772632144391537, 'happy': 0.149097281973809, 'sad': 10.086137801408768, 'surprise': 0.02871252945624292, 'neutral': 82.32945203781128}",neutral,"{'x': 68, 'y': 128, 'w': 256, 'h': 256}",24,"{'Woman': 0.0009724228220875375, 'Man': 99.99902248382568}",Man,"{'asian': 2.168354662490657e-08, 'indian': 0.011252132389927283, 'black': 3.7338399039299475e-08, 'white': 12.894530594348907, 'middle eastern': 86.78894639015198, 'latino hispanic': 0.30527354683727026}",middle eastern
0 (28).png,"{'angry': 0.024481210865634484, 'disgust': 4.649147754774362e-06, 'fear': 1.3200549119776381, 'happy': 98.5783694479906, 'sad': 0.010246460936308838, 'surprise': 0.001373505328982074, 'neutral': 0.0654740860971464}",happy,"{'x': 55, 'y': 69, 'w': 1227, 'h': 1227}",34,"{'Woman': 34.26116704940796, 'Man': 65.73883295059204}",Man,"{'asian': 29.288541036161245, 'indian': 10.552789154815027, 'black': 1.3513096482342273, 'white': 16.78312073845391, 'middle eastern': 8.985420852030567, 'latino hispanic': 33.03882080547934}",latino hispanic
0 (11).png,"{'angry': 0.10576474014669657, 'disgust': 0.010738107084762305, 'fear': 33.59799683094025, 'happy': 0.3796756034716964, 'sad': 58.00979137420654, 'surprise': 0.06825416348874569, 'neutral': 7.82778263092041}",sad,"{'x': 60, 'y': 133, 'w': 657, 'h': 657}",39,"{'Woman': 0.1587271923199296, 'Man': 99.84127283096313}",Man,"{'asian': 3.002939946599013, 'indian': 17.067542127663835, 'black': 2.375348187941529, 'white': 21.199577009728312, 'middle eastern': 36.075295677745856, 'latino hispanic': 20.2792933250316}",middle eastern
1 (11).jpg,"{'angry': 0.004362300023785792, 'disgust': 5.695656446480513e-09, 'fear': 0.009072785178432241, 'happy': 1.6543248193556792e-05, 'sad': 5.78690767288208, 'surprise': 4.2862682292366117e-07, 'neutral': 94.19963955879211}",neutral,"{'x': 254, 'y': 96, 'w': 646, 'h': 646}",32,"{'Woman': 0.26572910137474537, 'Man': 99.73427653312683}",Man,"{'asian': 2.473270706832409, 'indian': 6.0363322496414185, 'black': 0.7025553844869137, 'white': 37.17280030250549, 'middle eastern': 25.811052322387695, 'latino hispanic': 27.803990244865417}",white
0 (5).jpg,"{'angry': 2.7444154477816287, 'disgust': 4.613045506338687e-09, 'fear': 1.0860829250713677, 'happy': 2.9116820064573336e-09, 'sad': 1.3539207416569303, 'surprise': 0.07918454577622762, 'neutral': 94.73639193339444}",neutral,"{'x': 315, 'y': 196, 'w': 372, 'h': 372}",29,"{'Woman': 99.18137788772583, 'Man': 0.8186268620193005}",Woman,"{'asian': 99.99995827674617, 'indian': 3.379389485391284e-05, 'black': 3.392921115534835e-12, 'white': 7.530229333725501e-07, 'middle eastern': 2.220854925842609e-11, 'latino hispanic': 8.15533431656876e-06}",asian
1 (2).jpg,"{'angry': 0.7512220181524754, 'disgust': 9.27260560001919e-09, 'fear': 0.4284150432795286, 'happy': 0.00025764466045075096, 'sad': 10.024335235357285, 'surprise': 2.1766535951428523e-05, 'neutral': 88.79574537277222}",neutral,"{'x': 77, 'y': 188, 'w': 526, 'h': 526}",49,"{'Woman': 0.0031153093004832044, 'Man': 99.99688863754272}",Man,"{'asian': 1.4181878417730331, 'indian': 2.4790652096271515, 'black': 0.8495091460645199, 'white': 68.99660229682922, 'middle eastern': 14.622238278388977, 'latino hispanic': 11.634399741888046}",white
1 (7).jpeg,"{'angry': 12.777335941791534, 'disgust': 8.814981633520347e-07, 'fear': 0.07865479565225542, 'happy': 0.05380239454098046, 'sad': 13.987098634243011, 'surprise': 7.114102800187538e-05, 'neutral': 73.10304045677185}",neutral,"{'x': 160, 'y': 357, 'w': 1795, 'h': 1795}",52,"{'Woman': 0.00027842356757901143, 'Man': 99.99972581863403}",Man,"{'asian': 3.1487473961533397e-05, 'indian': 0.051099155098199844, 'black': 2.8052195233385646e-06, 'white': 41.354623436927795, 'middle eastern': 57.78419375419617, 'latino hispanic': 0.8100550621747971}",middle eastern
0 (12).jpg,"{'angry': 3.8426255810144214e-14, 'disgust': 2.7429197959863586e-17, 'fear': 99.81890320777893, 'happy': 4.146711585217844e-08, 'sad': 1.0586848731009013e-05, 'surprise': 4.654744200759814e-13, 'neutral': 0.18108977237716317}",fear,"{'x': 149, 'y': 167, 'w': 943, 'h': 943}",24,"{'Woman': 6.035975739359856, 'Man': 93.964022397995}",Man,"{'asian': 2.942871116101742, 'indian': 2.945522794561839e-05, 'black': 1.3377659868751834e-06, 'white': 96.98370099067688, 'middle eastern': 0.0031751860660733655, 'latino hispanic': 0.0702190154697746}",white
1 (12).jpeg,"{'angry': 0.10554380620866344, 'disgust': 4.346995335352466e-11, 'fear': 0.880535959537511, 'happy': 0.00048711334434581636, 'sad': 0.11114596694085396, 'surprise': 0.005510736516677519, 'neutral': 98.89677180090287}",neutral,"{'x': 961, 'y': 559, 'w': 2575, 'h': 2575}",31,"{'Woman': 2.288539335131645, 'Man': 97.71146178245544}",Man,"{'asian': 3.67235504090786, 'indian': 9.083378314971924, 'black': 1.0742024518549442, 'white': 40.991219878196716, 'middle eastern': 27.124282717704773, 'latino hispanic': 18.05456131696701}",white
